time,p_rgh,omega,k
0.303519,2.1947093e-11,3.1923791e-09,1.8367982e-08
0.303543,2.1287736e-11,3.2287482e-09,1.842529e-08
0.303567,2.1412334e-11,3.2703468e-09,1.8471418e-08
0.30359,2.1356873e-11,3.3103406e-09,1.8652862e-08
0.303614,2.0632493e-11,3.3517508e-09,1.8938803e-08
0.303638,2.0606023e-11,3.3894104e-09,1.9206352e-08
0.303662,2.0680601e-11,3.4278573e-09,1.9474817e-08
0.303685,2.0956591e-11,3.4621883e-09,1.9714943e-08
0.303709,2.1222086e-11,3.4992605e-09,1.9960391e-08
0.303733,2.2119202e-11,3.5323263e-09,2.0175643e-08
0.303757,2.1491439e-11,3.5650426e-09,2.0417163e-08
0.30378,2.2031664e-11,3.6028202e-09,2.0731699e-08
0.303804,2.0766554e-11,3.6458688e-09,2.1069426e-08
0.303828,2.6177692e-11,3.6886986e-09,2.1327163e-08
0.303852,2.4792503e-11,3.7603584e-09,2.1599563e-08
0.303875,2.4998977e-11,3.8272822e-09,2.1850399e-08
0.303899,2.4254067e-11,3.851072e-09,2.1779299e-08
0.303923,2.3553449e-11,3.9114507e-09,2.2069051e-08
0.303946,2.5407744e-11,3.9713384e-09,2.2429308e-08
0.30397,2.6221344e-11,4.0415117e-09,2.2771778e-08
0.303994,2.8727773e-11,4.1068419e-09,2.3096782e-08
0.304018,3.1504015e-11,4.1621585e-09,2.3388376e-08
0.304041,3.1592052e-11,4.2114355e-09,2.3732715e-08
0.304065,2.9848116e-11,4.2506718e-09,2.4056e-08
0.304089,2.8930943e-11,4.2866558e-09,2.4476815e-08
0.304112,2.8361268e-11,4.272695e-09,2.4615454e-08
0.304136,2.7402446e-11,4.2814449e-09,2.5277278e-08
0.304159,2.7373273e-11,4.3805245e-09,2.5993631e-08
0.304183,2.5130786e-11,4.443184e-09,2.6543413e-08
0.304207,2.511911e-11,4.4726857e-09,2.688466e-08
0.30423,2.4243691e-11,4.4788048e-09,2.7230322e-08
0.304254,1.5610011e-11,4.4639007e-09,2.7492974e-08
0.304277,1.2755528e-11,4.43339e-09,2.7675216e-08
0.304301,1.3252428e-11,4.4018596e-09,2.7808827e-08
0.304324,1.3383447e-11,4.3677802e-09,2.7873223e-08
0.304348,1.3211401e-11,4.3254151e-09,2.7883572e-08
0.304371,1.3256907e-11,4.2906136e-09,2.7836322e-08
0.304395,1.3192819e-11,4.2544269e-09,2.7748147e-08
0.304418,1.3237091e-11,4.218409e-09,2.7627576e-08
0.304442,1.3791958e-11,4.1872507e-09,2.7526102e-08
0.304465,1.4712011e-11,4.1575756e-09,2.749453e-08
0.304489,1.5296248e-11,4.1325177e-09,2.749354e-08
0.304512,1.5978951e-11,4.1142936e-09,2.7576985e-08
0.304536,2.1618095e-11,4.1022814e-09,2.7715488e-08
0.304559,3.275073e-11,4.0702271e-09,2.7566858e-08
0.304582,3.2946159e-11,4.0192473e-09,2.7087269e-08
0.304606,3.3307077e-11,3.9508572e-09,2.6623597e-08
0.304629,3.3630564e-11,3.9195338e-09,2.6159953e-08
0.304653,3.3933522e-11,3.9011887e-09,2.5992737e-08
0.304676,2.5266563e-11,3.9465311e-09,2.6301262e-08
0.304699,2.4864976e-11,4.0216849e-09,2.6714239e-08
0.304723,2.3624803e-11,4.1094365e-09,2.7135114e-08
0.304746,2.4137732e-11,4.2095751e-09,2.7614432e-08
0.304769,2.4620198e-11,4.3120121e-09,2.8166731e-08
0.304793,2.4778633e-11,4.4151866e-09,2.8684591e-08
0.304816,2.4611785e-11,4.5159601e-09,2.9138403e-08
0.304839,2.5758519e-11,4.6275838e-09,2.9704847e-08
0.304863,2.4884002e-11,4.7409531e-09,3.0314196e-08
0.304886,2.5522372e-11,4.8639541e-09,3.102177e-08
0.304909,2.5177196e-11,4.9949598e-09,3.1826079e-08
0.304933,2.5945692e-11,5.1350301e-09,3.2804572e-08
0.304956,2.5592988e-11,5.2699249e-09,3.3824316e-08
0.304979,2.907701e-11,5.4049354e-09,3.4875002e-08
0.305003,3.1326951e-11,5.5339224e-09,3.5997143e-08
0.305026,3.1609663e-11,5.6350128e-09,3.6932318e-08
0.305049,3.1550754e-11,5.7165701e-09,3.7769609e-08
0.305073,3.0021953e-11,5.7766996e-09,3.8431012e-08
0.305096,2.8631119e-11,5.8146549e-09,3.9103135e-08
0.305119,2.7363526e-11,5.8312848e-09,3.96884e-08
0.305143,2.6648006e-11,5.8236697e-09,4.011387e-08
0.305166,2.5514146e-11,6.0947786e-09,4.3242252e-08
0.305189,2.4614508e-11,6.4858789e-09,4.700143e-08
0.305213,2.3632744e-11,6.8905323e-09,5.0527274e-08
0.305236,2.2494889e-11,7.2748505e-09,5.245611e-08
0.30526,2.2163811e-11,7.3477231e-09,5.2541904e-08
0.305283,2.1307036e-11,7.4528033e-09,5.2751693e-08
0.305307,2.1773054e-11,7.5659274e-09,5.3050894e-08
0.30533,2.2013288e-11,7.6823751e-09,5.3457644e-08
0.305354,2.1804286e-11,7.7696137e-09,5.3827954e-08
0.305377,2.0622279e-11,7.8287896e-09,5.4157091e-08
0.305401,1.9883806e-11,7.7345736e-09,5.4376738e-08
0.305424,1.8214628e-11,7.490679e-09,5.4388201e-08
0.305448,1.7746357e-11,7.2701175e-09,5.4361436e-08
0.305472,1.7809609e-11,7.0650477e-09,5.4309543e-08
0.305495,1.7217935e-11,6.8751489e-09,5.4174457e-08
0.305519,1.6361975e-11,6.706766e-09,5.3969185e-08
0.305543,1.4018695e-11,6.5265087e-09,5.3701842e-08
0.305567,1.3794243e-11,6.3780849e-09,5.3409986e-08
0.30559,1.3574155e-11,6.2762755e-09,5.3041362e-08
0.305614,1.3341234e-11,6.1731575e-09,5.2664637e-08
0.305638,1.3267795e-11,6.059771e-09,5.2206838e-08
0.305662,1.1999378e-11,5.9333781e-09,5.1666299e-08
0.305686,1.364348e-11,5.8046027e-09,5.1097661e-08
0.30571,1.14045e-11,5.6741165e-09,5.0497687e-08
0.305733,1.0997193e-11,5.5406334e-09,4.9843695e-08
0.305757,1.1813656e-11,5.4019609e-09,4.9121628e-08
0.305781,1.1098693e-11,5.2697063e-09,4.8391882e-08
0.305805,1.0851948e-11,5.1406619e-09,4.7630857e-08
0.305829,1.0593327e-11,5.0119823e-09,4.6819564e-08
0.305854,1.040096e-11,4.8837028e-09,4.5987383e-08
0.305878,1.0193081e-11,4.7685168e-09,4.513726e-08
0.305902,1.0157673e-11,4.666494e-09,4.4244915e-08
0.305926,9.9327133e-12,4.5682368e-09,4.3383875e-08
0.30595,9.6665441e-12,4.4677934e-09,4.2618393e-08
0.305974,9.9232538e-12,4.366824e-09,4.1728711e-08
0.305999,1.0037148e-11,4.2556864e-09,4.0683579e-08
0.306023,1.1398435e-11,4.1710745e-09,3.9570088e-08
0.306047,1.146249e-11,4.0842866e-09,3.8025557e-08
0.306072,1.1191349e-11,3.9535e-09,3.5920898e-08
0.306096,1.1140808e-11,3.952684e-09,3.3441829e-08
0.30612,1.0679073e-11,4.1242688e-09,3.1037955e-08
0.306145,1.0727007e-11,4.2765678e-09,2.8778651e-08
0.306169,9.9501663e-12,4.4394227e-09,2.7287479e-08
0.306194,1.0334398e-11,4.5663361e-09,2.6452593e-08
0.306218,1.0596988e-11,4.6941419e-09,2.6028132e-08
0.306243,1.0352605e-11,4.8247377e-09,2.7039096e-08
0.306268,9.6083983e-12,4.9360182e-09,2.8215475e-08
0.306292,9.5417665e-12,5.0358273e-09,2.9360483e-08
0.306317,9.2706333e-12,5.1194562e-09,3.0392865e-08
0.306342,1.0460833e-11,5.2069402e-09,3.1321249e-08
0.306366,1.0100988e-11,5.3846995e-09,3.2291712e-08
0.306391,9.7935682e-12,5.5601248e-09,3.3138848e-08
0.306416,9.7914896e-12,5.7163035e-09,3.3882836e-08
0.306441,9.9651491e-12,5.8503984e-09,3.4526418e-08
0.306465,1.0263433e-11,5.9628007e-09,3.5058707e-08
0.30649,1.0261224e-11,6.0574737e-09,3.5540276e-08
0.306515,1.0212158e-11,6.287508e-09,3.7984212e-08
0.30654,1.0126206e-11,6.5198192e-09,3.9526101e-08
0.306565,9.3745264e-12,6.7275469e-09,4.0896832e-08
0.30659,9.249477e-12,6.9157273e-09,4.2136326e-08
0.306615,9.6101637e-12,7.0827314e-09,4.3610841e-08
0.30664,1.067332e-11,7.2317521e-09,4.5354134e-08
0.306665,9.4951846e-12,7.3674268e-09,4.7059849e-08
0.30669,9.5836837e-12,7.4954289e-09,4.8745563e-08
0.306715,9.9135984e-12,7.5558828e-09,5.0306467e-08
0.30674,9.4831311e-12,7.5927937e-09,5.1834372e-08
0.306765,9.3372123e-12,7.6313036e-09,5.3188474e-08
0.30679,9.4181031e-12,7.6652681e-09,5.4391991e-08
0.306815,9.4268903e-12,7.6868351e-09,5.5461947e-08
0.30684,9.3147562e-12,7.6819108e-09,5.6209775e-08
0.306865,9.1400672e-12,7.5464805e-09,5.5072156e-08
0.30689,8.7359501e-12,7.4141912e-09,5.432387e-08
0.306915,8.0734007e-12,7.3171293e-09,5.3718238e-08
0.30694,7.2347179e-12,7.2303691e-09,5.3121601e-08
0.306966,6.9432824e-12,7.1412853e-09,5.2518331e-08
0.306991,6.8597001e-12,7.049672e-09,5.1904372e-08
0.307016,7.438014e-12,6.950427e-09,5.1236768e-08
0.307041,6.2516739e-12,6.8531357e-09,5.0579159e-08
0.307066,6.0466697e-12,6.7485172e-09,4.9861953e-08
0.307091,5.8363247e-12,6.6470556e-09,4.917777e-08
0.307117,5.437877e-12,6.5400291e-09,4.8444197e-08
0.307142,5.2761456e-12,6.4355384e-09,4.7706068e-08
0.307167,5.0930038e-12,6.3316432e-09,4.6961963e-08
0.307192,4.9662288e-12,6.2295691e-09,4.6214015e-08
0.307218,4.8923966e-12,6.1350771e-09,4.5460632e-08
0.307243,4.75032e-12,6.0657052e-09,4.4850727e-08
0.307268,4.7309235e-12,5.9987165e-09,4.4279e-08
0.307293,4.7941615e-12,5.9283793e-09,4.3666379e-08
0.307319,4.8814203e-12,5.8707012e-09,4.307994e-08
0.307344,4.9919002e-12,5.8081582e-09,4.2457015e-08
0.307369,6.4802642e-12,5.7442671e-09,4.18665e-08
0.307394,6.638792e-12,5.674983e-09,4.1219107e-08
0.30742,6.8189376e-12,5.6082958e-09,4.0610254e-08
0.307445,7.0651765e-12,5.5347891e-09,3.9968289e-08
0.30747,6.7406946e-12,5.4598832e-09,3.9325146e-08
0.307496,5.3424039e-12,5.3837587e-09,3.8687147e-08
0.307521,5.5314502e-12,5.3060833e-09,3.8047522e-08
0.307546,5.6294222e-12,5.2231858e-09,3.7379859e-08
0.307571,5.7334081e-12,5.1433623e-09,3.6741966e-08
0.307597,5.8103595e-12,5.06333e-09,3.610493e-08
0.307622,5.2197728e-12,4.9826285e-09,3.5441341e-08
0.307647,5.305879e-12,4.8965733e-09,3.4734202e-08
0.307672,5.2944983e-12,4.8148611e-09,3.406272e-08
0.307698,5.3660578e-12,4.7329746e-09,3.3368017e-08
0.307723,5.1143605e-12,4.6536285e-09,3.2699567e-08
0.307748,5.2480864e-12,4.5692504e-09,3.2008049e-08
0.307773,5.4163864e-12,4.4870776e-09,3.1350485e-08
0.307799,5.5850812e-12,4.4015904e-09,3.0671407e-08
0.307824,5.6891675e-12,4.3191867e-09,3.0029249e-08
0.307849,5.7300974e-12,4.2318759e-09,2.9367628e-08
0.307874,5.5531703e-12,4.143443e-09,2.8733324e-08
0.3079,5.8281611e-12,4.0582038e-09,2.8135037e-08
0.307925,5.8523696e-12,3.9728557e-09,2.7529599e-08
0.30795,5.7675636e-12,3.8910706e-09,2.6959556e-08
0.307975,5.8114337e-12,3.8090511e-09,2.6376152e-08
0.308,6.438395e-12,3.7261892e-09,2.5786116e-08
0.308026,5.2087788e-12,3.6475838e-09,2.5220402e-08
0.308051,5.1732853e-12,3.5701669e-09,2.4644561e-08
0.308076,5.0596272e-12,3.4924243e-09,2.4075955e-08
0.308101,5.0205021e-12,3.4172163e-09,2.3513383e-08
0.308126,4.9009635e-12,3.3482369e-09,2.2973417e-08
0.308152,4.8468753e-12,3.2848827e-09,2.242235e-08
0.308177,4.7412653e-12,3.2474094e-09,2.1905388e-08
0.308202,4.571665e-12,3.2219114e-09,2.1441352e-08
0.308227,4.4186822e-12,3.194649e-09,2.0968904e-08
0.308252,4.3311703e-12,3.167948e-09,2.0508529e-08
0.308277,4.1083088e-12,3.1418476e-09,2.0081467e-08
0.308303,4.0392454e-12,3.116335e-09,1.9670129e-08
0.308328,3.9378268e-12,3.0959774e-09,1.9287922e-08
0.308353,3.8483263e-12,3.0825726e-09,1.8904482e-08
0.308378,3.7756669e-12,3.1040424e-09,1.8526006e-08
0.308403,3.6485386e-12,3.1222575e-09,1.8261528e-08
0.308428,3.5598476e-12,3.1387157e-09,1.8141768e-08
0.308453,3.4347264e-12,3.1522042e-09,1.8040829e-08
0.308478,3.3062286e-12,3.1654478e-09,1.795375e-08
0.308504,3.2247459e-12,3.1731698e-09,1.7851822e-08
0.308529,3.2250837e-12,3.1779364e-09,1.7750118e-08
0.308554,3.245267e-12,3.1802443e-09,1.7651188e-08
0.308579,3.3290641e-12,3.1797656e-09,1.7551873e-08
0.308604,3.3145835e-12,3.1790378e-09,1.7466813e-08
0.308629,3.1644309e-12,3.1733489e-09,1.7367637e-08
0.308654,3.3866435e-12,3.1658281e-09,1.7267301e-08
0.308679,3.3886014e-12,3.1571744e-09,1.7179957e-08
0.308704,3.2372141e-12,3.1493561e-09,1.7107203e-08
0.308729,3.3915893e-12,3.1372605e-09,1.7019926e-08
0.308754,3.4860485e-12,3.125049e-09,1.6934142e-08
0.308779,3.5033779e-12,3.1144266e-09,1.6863343e-08
0.308804,3.6506242e-12,3.1002216e-09,1.6775321e-08
0.308829,3.8428192e-12,3.0840609e-09,1.6684306e-08
0.308854,3.9895943e-12,3.0698697e-09,1.6614601e-08
0.308879,4.1472242e-12,3.0542288e-09,1.653767e-08
0.308904,4.3033063e-12,3.0410616e-09,1.6481817e-08
0.308929,2.4602768e-12,3.0267154e-09,1.6428328e-08
0.308954,3.4705751e-12,3.0180799e-09,1.6426796e-08
0.308979,5.210221e-12,3.0094476e-09,1.6420432e-08
0.309005,4.0443742e-12,2.9984808e-09,1.6407016e-08
0.30903,3.9876856e-12,2.9905932e-09,1.6410443e-08
0.309055,3.9668142e-12,2.9839232e-09,1.6400028e-08
0.30908,3.9454097e-12,2.9882185e-09,1.6402502e-08
0.309105,3.9809298e-12,2.9920174e-09,1.6404405e-08
0.30913,3.9666579e-12,2.9950057e-09,1.6406245e-08
0.309155,4.07771e-12,2.9948582e-09,1.6394176e-08
0.30918,3.9972462e-12,2.9963891e-09,1.639432e-08
0.309205,4.1419421e-12,2.9966531e-09,1.6391172e-08
0.30923,4.179921e-12,2.9962593e-09,1.639651e-08
0.309255,4.1992657e-12,2.9927746e-09,1.6388122e-08
0.30928,4.189557e-12,2.9909269e-09,1.6430613e-08
0.309305,4.1931944e-12,2.9894767e-09,1.6481429e-08
0.309329,4.2007503e-12,2.988713e-09,1.6541412e-08
0.309354,4.1620228e-12,2.9877448e-09,1.6603858e-08
0.309379,4.1375659e-12,2.9919779e-09,1.664841e-08
0.309404,4.1286819e-12,3.0005841e-09,1.670807e-08
0.309429,4.2212105e-12,3.0104799e-09,1.6769319e-08
0.309454,5.1570449e-12,3.0212901e-09,1.6828604e-08
0.309479,4.5994893e-12,3.0327877e-09,1.6891885e-08
0.309504,5.3825477e-12,3.0423978e-09,1.6944779e-08
0.309529,5.2155362e-12,3.0546496e-09,1.7011575e-08
0.309554,5.3433831e-12,3.0673614e-09,1.7078023e-08
0.309579,5.4533986e-12,3.0803486e-09,1.7146845e-08
0.309604,5.4742753e-12,3.0930902e-09,1.7214845e-08
0.309629,5.5380037e-12,3.1029792e-09,1.7266069e-08
0.309654,4.7527774e-12,3.1151203e-09,1.7328245e-08
0.309679,4.9475196e-12,3.131087e-09,1.7389915e-08
0.309704,5.0238452e-12,3.147579e-09,1.744668e-08
0.309729,4.8883333e-12,3.1585594e-09,1.7483737e-08
0.309754,5.0795006e-12,3.1713107e-09,1.7526465e-08
0.309779,5.2981713e-12,3.1828774e-09,1.7562154e-08
0.309804,5.5597918e-12,3.1924715e-09,1.7593483e-08
0.309829,5.5364943e-12,3.1980573e-09,1.7604783e-08
0.309854,5.6820877e-12,3.2047865e-09,1.7629854e-08
0.309879,5.6661102e-12,3.2099326e-09,1.7675344e-08
0.309904,5.9144837e-12,3.2134391e-09,1.7713222e-08
0.309929,6.0403747e-12,3.2131197e-09,1.7728604e-08
0.309954,6.5711578e-12,3.2148464e-09,1.7750086e-08
0.309979,5.9138519e-12,3.2147128e-09,1.7765881e-08
0.310004,5.0336983e-12,3.2133413e-09,1.7771851e-08
0.310029,6.4387245e-12,3.2079478e-09,1.7763143e-08
0.310054,6.0551288e-12,3.204036e-09,1.7762373e-08
0.310079,6.2889546e-12,3.198275e-09,1.775107e-08
0.310103,6.1233066e-12,3.1914351e-09,1.7737676e-08
0.310128,6.5846027e-12,3.1836038e-09,1.7719633e-08
